Analyte,Formula,Analysis,FC,A+0,A+1,A+2,A+3,A+4,A+5,A+6
Alanine,C3H7NO2,media-hilic-Blank03,0.403820721,6841.285078,627.6821189,240.8687235,4601.946215,,,
Alanine 15N,C3H7^15NO2,media-hilic-32,0,0,0,0,0,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC05,0.012587323,1634778.205,0,0,351.1819782,0,434.403689,20305.36624
Alanine 13C15N,^13C3H7^15NO2,media-hilic-20,0.9925276,2427.17374,4339.280548,0,705190.544,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC02,0.995212587,2553.333374,5186.399963,0,1247830.501,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-29,0.867348685,1432.245295,0,0,1019.363326,24311.84448,23762.6913,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-24,0.014960239,1236629.904,0,0,828.2345413,66.29946309,0,18329.55877
Lactic acid,C3H6O3,media-hilic-31,0.106152239,1.58E+07,53131.67547,31258.92529,1847903.646,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-06,0.866063799,1533.430733,0,0,1606.86122,22532.33809,24221.594,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-35,0,0,0,0,0,0,0,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-22,0.015260533,1266105.948,0,0,443.0848919,228.1290167,0,19251.85948
Glucose CL,C6H13O6Cl,media-hilic-QC01,0.65838913,1.06E+07,0,0,0,11553.5466,143633.2425,2.04E+07
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC06,0.865700825,1273.099855,0,0,1026.781661,35702.27799,27703.88891,
Alanine 15N,C3H7^15NO2,media-hilic-26,0,0,0,0,0,,,
Lactic acid,C3H6O3,media-hilic-20,0.014471145,1.41E+07,0,0,206508.7191,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-31,0,0,0,0,0,0,0,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC10,0.014675372,1306005.478,0,0,1124.03337,0,0,18897.92885
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-04,0.86157983,1659.733724,72.99333771,0,2025.181061,19730.7126,23284.50004,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-21,0.992997104,2862.623851,5059.800018,0,882541.2081,,,
Alanine,C3H7NO2,media-hilic-22,0.014717225,411406.0311,0,0,6145.195534,,,
Alanine 15N,C3H7^15NO2,media-hilic-03,0,0,0,0,0,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-04,0.01731718,1333142.365,0,0,1112.793868,56.78797785,0,22908.98379
L-Glutamic acid,C5H9NO4,media-hilic-19,0.711461059,1844913.508,0,6110.449742,0,0,4555666.83,
Lactic acid,C3H6O3,media-hilic-Blank03,0.210621784,171394.0587,546.5378193,407.9837452,45410.67416,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC01,0.857244791,1507.570141,0,0,1430.175811,37154.51317,26529.07943,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-23,0.994974803,2212.586974,5012.570286,0,1098064.834,,,
Lactic acid C3,^13C3H6O3,media-hilic-17,0.234345047,8072364.846,0,0,2470719.627,,,
Alanine,C3H7NO2,media-hilic-QC04,0.021024019,566025.5126,0,0,12155.69269,,,
Lactic acid C3,^13C3H6O3,media-hilic-QC10,0.095087221,1.54E+07,0,0,1618522.223,,,
L-Glutamine,C5H10N2O3,media-hilic-22,0.019017088,1.95E+07,1718857.242,152465.5566,1184.381923,0,199.9639495,
Lactic acid,C3H6O3,media-hilic-11,0.051765527,1.44E+07,7307.991736,49610.11695,752513.194,,,
Glucose CL,C6H13O6Cl,media-hilic-19,0.001063552,2.05E+07,0,0,0,23216.03128,1294.55519,5279.556277
Alanine 15N,C3H7^15NO2,media-hilic-24,0,0,0,0,0,,,
L-Glutamic acid,C5H9NO4,media-hilic-03,0.744719834,3508324.671,0,10697.66849,0,0,1.02E+07,
Lactic acid,C3H6O3,media-hilic-19,0.011579488,1.12E+07,0,0,131438.9861,,,
L-Glutamine,C5H10N2O3,media-hilic-16,0.01779801,2.04E+07,1657120.052,154526.1231,2686.099683,877.4585068,309.6729406,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-18,0.911117407,699.8020716,0,0,1622.70359,0,12853.50867,
L-Glutamic acid,C5H9NO4,media-hilic-QC04,0.725016018,5029613.453,0,18854.90257,0,0,1.33E+07,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC08,0,0,0,0,0,0,0,
L-Glutamine,C5H10N2O3,media-hilic-10,0.018233556,2.02E+07,1691218.205,156649.9756,1270.637964,22.39108225,245.4941189,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-11,0.014050877,1347982.736,0,0,1473.687976,124.5999685,0,18401.44324
Alanine 15N,C3H7^15NO2,media-hilic-27,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-01,0,0,0,0,0,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-36,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-04,0.023059623,1.47E+07,47144.57447,13801.94398,323925.9027,,,
Lactic acid,C3H6O3,media-hilic-18,0.26708122,1.04E+07,7562.277245,0,3789602.179,,,
Lactic acid,C3H6O3,media-hilic-07,0.031414321,1.51E+07,16977.72635,14724.05469,474802.9146,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-23,0.015212019,1369005.7,0,0,1176.308726,5.108454841,0,20564.5811
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-12,0,0,0,0,0,0,0,
L-Glutamic acid,C5H9NO4,media-hilic-22,0.716501277,3787517.457,0,11461.37727,0,0,9585188.266,
Alanine 15N,C3H7^15NO2,media-hilic-QC05,0,0,0,0,0,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-32,0.862229591,1377.131823,0,0,2431.437484,21507.27397,22961.29874,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-23,0.869144305,1572.703722,7.340730091,0,454.3674963,23174.35595,23663.34651,
